day_key,actual_date,day_of_month,month,quarter,year
155,1999-06-04,4,6,2,1999
156,1999-06-05,5,6,2,1999
157,1999-06-06,6,6,2,1999
158,1999-06-07,7,6,2,1999
159,1999-06-08,8,6,2,1999
160,1999-06-09,9,6,2,1999
161,1999-06-10,10,6,2,1999
162,1999-06-11,11,6,2,1999
163,1999-06-12,12,6,2,1999
164,1999-06-13,13,6,2,1999
165,1999-06-14,14,6,2,1999
166,1999-06-15,15,6,2,1999
167,1999-06-16,16,6,2,1999
168,1999-06-17,17,6,2,1999
169,1999-06-18,18,6,2,1999
170,1999-06-19,19,6,2,1999
171,1999-06-20,20,6,2,1999
172,1999-06-21,21,6,2,1999
173,1999-06-22,22,6,2,1999
174,1999-06-23,23,6,2,1999
175,1999-06-24,24,6,2,1999
176,1999-06-25,25,6,2,1999
177,1999-06-26,26,6,2,1999
178,1999-06-27,27,6,2,1999
179,1999-06-28,28,6,2,1999
180,1999-06-29,29,6,2,1999
181,1999-06-30,30,6,2,1999
182,1999-07-01,1,7,2,1999
183,1999-07-02,2,7,2,1999
184,1999-07-03,3,7,2,1999
185,1999-07-04,4,7,2,1999
186,1999-07-05,5,7,2,1999
187,1999-07-06,6,7,2,1999
188,1999-07-07,7,7,2,1999
189,1999-07-08,8,7,2,1999
190,1999-07-09,9,7,2,1999
191,1999-07-10,10,7,2,1999
192,1999-07-11,11,7,2,1999
193,1999-07-12,12,7,2,1999
194,1999-07-13,13,7,2,1999
195,1999-07-14,14,7,2,1999
196,1999-07-15,15,7,2,1999
197,1999-07-16,16,7,2,1999
198,1999-07-17,17,7,2,1999
199,1999-07-18,18,7,2,1999
200,1999-07-19,19,7,2,1999
201,1999-07-20,20,7,2,1999
202,1999-07-21,21,7,2,1999
203,1999-07-22,22,7,2,1999
204,1999-07-23,23,7,2,1999
205,1999-07-24,24,7,2,1999
206,1999-07-25,25,7,2,1999
207,1999-07-26,26,7,2,1999
208,1999-07-27,27,7,2,1999
209,1999-07-28,28,7,2,1999
210,1999-07-29,29,7,2,1999
211,1999-07-30,30,7,2,1999
212,1999-07-31,31,7,2,1999
213,1999-08-01,1,8,3,1999
214,1999-08-02,2,8,3,1999
215,1999-08-03,3,8,3,1999
216,1999-08-04,4,8,3,1999
217,1999-08-05,5,8,3,1999
218,1999-08-06,6,8,3,1999
219,1999-08-07,7,8,3,1999
220,1999-08-08,8,8,3,1999
221,1999-08-09,9,8,3,1999
